LSOA,Predicted IMD Score
E01020848,21.874441
E01020850,4.880703
E01020851,7.5478916
E01020816,38.481236
E01020844,38.82219
E01020847,49.01181
E01020849,42.61548
E01020825,23.606468
E01020831,28.137285
E01020833,18.899235
E01020834,36.57017
E01020824,25.293268
E01020826,20.767675
E01020832,24.052309
E01020845,37.914482
E01020846,18.571127
E01020856,31.727055
E01020858,19.732208
E01020859,13.063726
E01020860,38.528965
E01020861,27.13862
E01020862,11.228842
E01020864,12.497048
E01020867,11.239288
E01020857,9.006874
E01020863,16.236769
E01020865,15.1709175
E01020866,16.503244
E01020852,26.14566
E01020853,12.532542
E01020854,10.946553
E01020855,7.030773
E01020889,16.367313
E01020890,18.536331
E01020891,17.06177
E01020905,13.321365
E01020906,10.246133
E01020876,23.606356
E01020878,40.74068
E01020887,23.566881
E01020892,34.150852
E01020894,35.875835
E01020898,59.709076
E01020877,26.890347
E01020879,10.989324
E01020893,23.98806
E01020899,25.060179
E01020903,21.863506
E01020904,20.000837
E01020873,55.56022
E01020875,23.494349
E01020900,22.853846
E01020901,60.600483
E01020902,50.680195
E01020868,26.304
E01020869,22.615423
E01020874,40.038345
E01020880,51.86392
E01020881,24.080563
E01020870,4.958088
E01020871,21.834415
E01020872,26.352268
E01020883,5.987791
E01020886,27.312176
E01020882,19.36223
E01020888,15.6874895
E01020895,38.798203
E01020896,22.049929
E01020897,26.515175
E01020884,30.260458
E01020885,42.630424
E01020907,43.487198
E01020908,32.03244
E01020909,67.8879
E01011954,33.6324
E01011969,11.930847
E01011970,10.622549
E01011971,5.7490807
E01033465,6.9809237
E01033467,31.976671
E01011952,49.48377
E01011953,46.832417
E01011991,29.151335
E01011992,49.92927
E01011993,48.73742
E01011994,62.286594
E01011955,58.28973
E01011957,38.662415
E01032540,28.524977
E01032541,37.417637
E01033466,62.987137
E01011973,67.16352
E01011974,40.92819
E01011975,33.860477
E01011976,50.92212
E01011965,5.0580482
E01011966,15.4220915
E01011983,7.8569326
E01012002,21.795744
E01011951,40.571514
E01011964,34.385445
E01011967,16.899784
E01011999,64.37472
E01012000,71.95769
E01011950,55.196205
E01011986,19.004227
E01011987,26.665125
E01012001,49.29498
E01011949,39.295185
E01011980,62.16915
E01011981,54.44591
E01011984,13.301897
E01011985,18.78837
E01011988,27.698217
E01011989,54.221615
E01011990,25.368832
E01011995,18.28058
E01011996,18.889395
E01011997,9.388591
E01011998,15.616527
E01011961,33.97319
E01011962,42.056076
E01011977,53.192383
